time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-07T02:09:04.380Z,5.7658,125.6078,202.25,4.8,mb,,102,1.295,0.98,us,us1000ek7m,2018-06-09T03:29:09.345Z,"12km ENE of Kalbay, Philippines",earthquake,8.9,6.6,0.059,87,reviewed,us,us
2018-06-07T02:06:38.430Z,19.411,-155.2735,-1.14,5.4,mw,12,141,0.012,0.22,hv,hv70241807,2018-06-07T19:08:26.103Z,"6km SW of Volcano, Hawaii",volcanic eruption,0.41,31.61,,18,reviewed,hv,hv
2018-06-06T23:38:22.730Z,11.2108,-86.7349,21.83,4.7,mb,,155,1.508,1.03,us,us1000ek4g,2018-06-07T00:12:42.040Z,"68km SSW of Masachapa, Nicaragua",earthquake,3.2,6.5,0.037,218,reviewed,us,us
2018-06-06T23:09:01.230Z,-55.008,-126.623,10,5.1,mb,,47,32.082,0.72,us,us1000ek3p,2018-06-06T23:43:06.040Z,"Southern East Pacific Rise",earthquake,13.1,1.7,0.061,88,reviewed,us,us
2018-06-06T18:51:34.600Z,-58.3773,-25.736,31,5.6,mww,,23,7.246,1.22,us,us1000ejvv,2018-06-06T22:45:02.040Z,"85km NNE of Bristol Island, South Sandwich Islands",earthquake,9,1.8,0.071,19,reviewed,us,us
2018-06-06T18:15:49.990Z,35.7374,78.3439,10.07,5.1,mb,,48,5.664,0.77,us,us1000ejuj,2018-06-07T02:09:39.611Z,"171km ENE of Thang, India",earthquake,6.2,3.5,0.035,266,reviewed,us,us
2018-06-06T17:42:33.800Z,-0.7989,-21.9011,10,4.8,mb,,69,10.329,1.01,us,us1000ejtb,2018-06-06T22:05:25.040Z,"Central Mid-Atlantic Ridge",earthquake,11.1,1.9,0.061,84,reviewed,us,us
2018-06-06T17:41:24.100Z,30.7351,78.9513,10,4.5,mb,,152,9.077,1.25,us,us1000ejt1,2018-06-06T21:53:34.040Z,"48km E of Uttarkashi, India",earthquake,11.3,1.9,0.089,37,reviewed,us,us
2018-06-06T09:37:02.460Z,-12.9091,45.7445,10,4.9,mb,,52,6.239,0.42,us,us1000ejh5,2018-06-06T09:59:41.701Z,"51km ESE of Pamandzi, Mayotte",earthquake,10.2,1.9,0.092,37,reviewed,us,us
2018-06-06T09:12:12.430Z,18.1908,120.6775,45.36,4.5,mb,,96,4.618,0.8,us,us1000ejgq,2018-06-06T09:34:45.124Z,"4km NE of Sarrat, Philippines",earthquake,7.4,7.9,0.049,124,reviewed,us,us
2018-06-06T04:53:56.900Z,-1.3193,135.2111,10,5,mb,,39,3.359,0.74,us,us1000ejec,2018-06-06T05:11:36.040Z,"135km ESE of Manokwari, Indonesia",earthquake,8.4,1.9,0.055,105,reviewed,us,us
2018-06-05T23:12:32.290Z,23.8585,94.4873,82.01,4.7,mb,,26,0.407,0.89,us,us1000ejay,2018-06-12T05:22:11.150Z,"25km NNE of Mawlaik, Burma",earthquake,6,4.9,0.046,143,reviewed,us,us
2018-06-05T23:02:45.220Z,-12.9161,45.7331,10,4.9,mb,,39,5.794,0.97,us,us1000ejax,2018-06-12T05:19:00.553Z,"50km ESE of Pamandzi, Mayotte",earthquake,6.3,1.8,0.07,64,reviewed,us,us
2018-06-05T23:00:29.930Z,-6.185,103.5487,35,4.8,mb,,152,3.456,0.77,us,us1000ejar,2018-06-12T05:17:38.814Z,"108km SSW of Biha, Indonesia",earthquake,8.5,2,0.074,57,reviewed,us,us
2018-06-05T22:55:29.650Z,-11.9599,41.1371,10,5.1,mb,,67,11.273,0.77,us,us1000ejah,2018-06-05T23:21:45.040Z,"72km NE of Ibo, Mozambique",earthquake,9.6,1.5,0.073,61,reviewed,us,us
2018-06-05T22:28:57.770Z,-18.0069,-171.9726,10,4.7,mb,,93,2.212,0.88,us,us1000eja7,2018-06-06T00:23:13.040Z,"224km ENE of Neiafu, Tonga",earthquake,6.6,1.7,0.133,17,reviewed,us,us
2018-06-05T18:40:30.010Z,41.5294,46.7946,22.59,5.3,mww,,34,2.081,0.82,us,us1000ej4g,2018-06-09T03:38:18.913Z,"11km WNW of Cinarli, Azerbaijan",earthquake,6.3,4,0.078,16,reviewed,us,us
2018-06-05T18:09:00.950Z,76.6214,7.3095,10,4.9,mb,,34,2.508,0.7,us,us1000ej42,2018-06-06T15:13:27.040Z,"269km SW of Longyearbyen, Svalbard and Jan Mayen",earthquake,5.5,1.9,0.027,421,reviewed,us,us
2018-06-05T16:33:54.700Z,24.5969,95.1002,110.91,4.8,mb,,25,0.815,1.02,us,us1000ej24,2018-06-11T20:23:51.040Z,"104km E of Yairipok, India",earthquake,6.6,2.2,0.04,190,reviewed,us,us
2018-06-05T14:32:26.690Z,19.4113,-155.2808,0.55,5.4,mww,,35,0.007,0.26,us,us1000ej12,2018-06-11T20:09:14.046Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.6,4.2,0.075,17,reviewed,hv,us
2018-06-05T14:16:41.140Z,-0.24,124.5341,60.92,4.5,mb,,53,1.933,0.92,us,us1000ej0v,2018-06-11T19:51:04.040Z,"92km SE of Molibagu, Indonesia",earthquake,8,8.4,0.075,52,reviewed,us,us
2018-06-05T08:52:39.930Z,36.5816,22.5909,10,4.8,mb,,67,0.8,1.33,us,us1000eivf,2018-06-05T09:09:31.040Z,"19km S of Gytheion, Greece",earthquake,5.8,1.9,0.044,161,reviewed,us,us
2018-06-05T01:34:36.790Z,29.6818,81.6648,10,4.8,mb,,147,9.922,1,us,us1000eiq5,2018-06-05T01:47:27.040Z,"67km NW of Jumla, Nepal",earthquake,10.5,1.9,0.077,52,reviewed,us,us
2018-06-04T22:49:26.740Z,65.0221,-51.7787,10,4.5,mb,,47,2.038,0.76,us,us1000einu,2018-06-12T05:15:26.138Z,"68km SE of Maniitsoq, Greenland",earthquake,6,1.8,0.071,58,reviewed,us,us
2018-06-04T21:20:28.670Z,-12.886,45.6387,10,4.9,mb,,44,5.845,0.69,us,us1000eimm,2018-06-12T05:00:50.040Z,"39km ESE of Pamandzi, Mayotte",earthquake,8.6,1.9,0.065,73,reviewed,us,us
2018-06-04T19:53:34.390Z,-12.8573,45.6605,13.32,4.9,mb,,52,6.308,0.97,us,us1000eil0,2018-06-05T02:52:37.280Z,"41km E of Pamandzi, Mayotte",earthquake,9.8,4.3,0.065,74,reviewed,us,us
2018-06-04T18:51:59.810Z,-12.8737,45.6486,10,4.8,mb,,46,6.295,0.74,us,us1000eijm,2018-06-04T19:48:36.534Z,"40km ESE of Pamandzi, Mayotte",earthquake,6.1,1.9,0.107,27,reviewed,us,us
